,duration,Max no. resources in a week,Sum of activities delays,network,activities start times,activities end times,activities durations,resources allocation
1655,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 2, 'G': 6, 'C': 3, 'D': 9, 'E': 14}","{'A': 8, 'B': 15, 'F': 6, 'G': 8, 'C': 9, 'D': 11, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 8, 12, 12, 12, 16, 16, 8, 9, 9, 4, 4, 4, 10, 6, 6]"
1656,17,16,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 1, 'G': 7, 'C': 3, 'D': 12, 'E': 14}","{'A': 8, 'B': 16, 'F': 5, 'G': 9, 'C': 9, 'D': 14, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 8, 12, 12, 10, 10, 16, 10, 4, 4, 4, 9, 9, 10, 10, 6]"
1657,16,16,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 6, 'C': 1, 'D': 8, 'E': 11}","{'A': 9, 'B': 16, 'F': 4, 'G': 8, 'C': 7, 'D': 10, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 12, 12, 12, 10, 10, 16, 12, 11, 9, 4, 10, 10, 10, 4, 4]"
1658,17,16,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 1, 'G': 6, 'C': 4, 'D': 10, 'E': 14}","{'A': 8, 'B': 17, 'F': 5, 'G': 8, 'C': 10, 'D': 12, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 8, 8, 12, 10, 16, 16, 4, 4, 9, 9, 4, 4, 10, 10, 10]"
1659,16,12,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 0, 'G': 7, 'C': 0, 'D': 9, 'E': 11}","{'A': 8, 'B': 16, 'F': 4, 'G': 9, 'C': 6, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[12, 12, 12, 12, 10, 10, 6, 12, 6, 9, 9, 10, 10, 10, 4, 4]"
1660,17,17,7,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 10, 'F': 0, 'G': 8, 'C': 1, 'D': 7, 'E': 10}","{'A': 9, 'B': 17, 'F': 4, 'G': 10, 'C': 7, 'D': 9, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 12, 12, 12, 10, 10, 10, 11, 17, 6, 10, 10, 10, 4, 4, 4, 4]"
1661,16,16,2,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 4, 'C': 0, 'D': 6, 'E': 9}","{'A': 9, 'B': 16, 'F': 4, 'G': 6, 'C': 6, 'D': 8, 'E': 12}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 12, 12, 12, 16, 16, 11, 11, 6, 10, 10, 10, 4, 4, 4, 4]"
1662,15,16,4,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 0, 'G': 5, 'C': 3, 'D': 9, 'E': 11}","{'A': 8, 'B': 15, 'F': 4, 'G': 7, 'C': 9, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 8, 12, 10, 16, 16, 10, 8, 9, 9, 10, 10, 10, 4]"
1663,15,12,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 0, 'G': 6, 'C': 0, 'D': 10, 'E': 12}","{'A': 8, 'B': 15, 'F': 4, 'G': 8, 'C': 6, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[12, 12, 12, 12, 10, 10, 12, 12, 4, 4, 9, 9, 10, 10, 10]"
1664,17,16,9,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 1, 'G': 5, 'C': 3, 'D': 12, 'E': 14}","{'A': 10, 'B': 17, 'F': 5, 'G': 7, 'C': 9, 'D': 14, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 2, 8, 12, 12, 16, 16, 10, 10, 6, 4, 4, 9, 9, 10, 10, 10]"
1665,17,16,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 5, 'C': 0, 'D': 9, 'E': 11}","{'A': 10, 'B': 17, 'F': 4, 'G': 7, 'C': 6, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 12, 12, 10, 16, 12, 6, 6, 11, 9, 10, 10, 10, 4, 4, 4]"
1666,16,16,6,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 1, 'G': 5, 'C': 3, 'D': 9, 'E': 13}","{'A': 8, 'B': 15, 'F': 5, 'G': 7, 'C': 9, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 8, 12, 12, 16, 16, 10, 8, 9, 9, 4, 4, 10, 10, 6]"
1667,17,16,5,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 1, 'G': 6, 'C': 2, 'D': 8, 'E': 10}","{'A': 8, 'B': 17, 'F': 5, 'G': 8, 'C': 8, 'D': 10, 'E': 13}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 12, 12, 12, 10, 16, 16, 5, 5, 10, 10, 10, 4, 4, 4, 4]"
