,duration,Max no. resources in a week,Sum of activities delays,network,activities start times,activities end times,activities durations,resources allocation
1594,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 2, 'G': 6, 'C': 3, 'D': 9, 'E': 13}","{'A': 9, 'B': 16, 'F': 6, 'G': 8, 'C': 9, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 6, 8, 12, 12, 12, 16, 16, 10, 9, 9, 4, 4, 10, 10, 10]"
1606,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 3, 'G': 7, 'C': 2, 'D': 8, 'E': 13}","{'A': 8, 'B': 16, 'F': 7, 'G': 9, 'C': 8, 'D': 10, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 10, 12, 12, 12, 12, 16, 11, 9, 4, 4, 4, 10, 10, 10]"
1609,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 3, 'G': 7, 'C': 3, 'D': 9, 'E': 12}","{'A': 9, 'B': 16, 'F': 7, 'G': 9, 'C': 9, 'D': 11, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 6, 6, 12, 12, 12, 12, 16, 16, 9, 9, 4, 10, 10, 10, 4]"
1616,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 1, 'G': 6, 'C': 3, 'D': 9, 'E': 13}","{'A': 9, 'B': 16, 'F': 5, 'G': 8, 'C': 9, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 8, 8, 12, 12, 10, 16, 16, 10, 9, 9, 4, 4, 10, 10, 10]"
1622,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 1, 'G': 5, 'C': 1, 'D': 11, 'E': 13}","{'A': 10, 'B': 17, 'F': 5, 'G': 7, 'C': 7, 'D': 13, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 6, 12, 12, 12, 16, 16, 6, 6, 6, 4, 9, 9, 10, 10, 10, 4]"
1631,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 1, 'G': 6, 'C': 3, 'D': 10, 'E': 14}","{'A': 8, 'B': 15, 'F': 5, 'G': 8, 'C': 9, 'D': 12, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 8, 12, 12, 10, 16, 16, 8, 4, 9, 9, 4, 4, 10, 6, 6]"
1655,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 2, 'G': 6, 'C': 3, 'D': 9, 'E': 14}","{'A': 8, 'B': 15, 'F': 6, 'G': 8, 'C': 9, 'D': 11, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 8, 12, 12, 12, 16, 16, 8, 9, 9, 4, 4, 4, 10, 6, 6]"
1669,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 7, 'C': 3, 'D': 9, 'E': 11}","{'A': 10, 'B': 17, 'F': 4, 'G': 9, 'C': 9, 'D': 11, 'E': 14}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 2, 8, 12, 10, 10, 10, 16, 16, 11, 9, 10, 10, 10, 4, 4, 4]"
1672,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 1, 'G': 5, 'C': 2, 'D': 8, 'E': 14}","{'A': 9, 'B': 16, 'F': 5, 'G': 7, 'C': 8, 'D': 10, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 8, 12, 12, 12, 16, 16, 10, 11, 9, 4, 4, 4, 4, 10, 10, 6]"
1678,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 2, 'G': 6, 'C': 3, 'D': 9, 'E': 12}","{'A': 10, 'B': 17, 'F': 6, 'G': 8, 'C': 9, 'D': 11, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 0, 8, 12, 12, 12, 16, 16, 10, 11, 9, 4, 10, 10, 10, 4, 4]"
